,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-03-16,5480.0,5520.0,5360.0,5400.0,3866.96484375,28795000,3821.612060546875,3828.29609375
2000-03-17,5540.0,5560.0,5400.0,5480.0,3924.253662109375,24080000,3886.0611165364585,3819.702587890625
2000-03-20,5600.0,5710.0,5530.0,5660.0,4053.154541015625,26365000,3948.1243489583335,3888.448876953125
2000-03-21,5700.0,5940.0,5610.0,5880.0,4210.6962890625,44925000,4062.7014973958335,3984.4068359375
2000-03-22,5960.0,6300.0,5880.0,6200.0,4439.85107421875,86975000,4234.567301432292,4098.98408203125
2000-03-23,6480.0,6580.0,6200.0,6200.0,4439.85107421875,64950000,4363.466145833333,4213.561328125
2000-03-24,6320.0,7120.0,6180.0,6800.0,4869.51416015625,90260000,4583.072102864583,4402.613427734375
2000-03-27,6960.0,7040.0,6700.0,6800.0,4869.51416015625,67730000,4726.293131510417,4565.8853515625
2000-03-28,6900.0,7260.0,6820.0,7030.0,5034.21826171875,74425000,4924.41552734375,4730.58974609375
2000-03-29,7030.0,7680.0,6980.0,7660.0,5485.36376953125,78090000,5129.69873046875,4939.69228515625
2000-03-30,7520.0,7560.0,7050.0,7050.0,5048.5390625,74645000,5189.373697916667,5061.4298828125
2000-03-31,6800.0,7070.0,6650.0,6700.0,4797.90283203125,63855000,5110.601888020833,5047.1076171875
2000-04-03,6920.0,7320.0,6860.0,7100.0,5084.34375,56805000,4976.928548177083,5090.07353515625
2000-04-04,7000.0,7290.0,6660.0,6800.0,4869.51416015625,58340000,4917.253580729167,5057.13271484375
2000-04-05,6800.0,6800.0,6800.0,6800.0,4869.51416015625,0,4941.1240234375,4933.96279296875
2000-04-06,6860.0,6960.0,6680.0,6680.0,4783.58056640625,47235000,4840.86962890625,4880.97109375
2000-04-07,6860.0,7260.0,6780.0,7200.0,5155.95458984375,42355000,4936.349772135417,4952.5814453125
2000-04-10,7500.0,7500.0,7200.0,7300.0,5227.5673828125,35885000,5055.700846354167,4981.226171875
2000-04-11,7200.0,7200.0,6950.0,7100.0,5084.34375,29075000,5155.955240885417,5024.19208984375
2000-04-12,6960.0,7030.0,6860.0,6910.0,4948.2841796875,35250000,5086.731770833333,5039.94609375
2000-04-13,6910.0,6910.0,6910.0,6910.0,4948.2841796875,0,4993.637369791667,5072.88681640625
2000-04-14,6600.0,6680.0,6260.0,6260.0,4482.81689453125,62365000,4793.12841796875,4938.25927734375
2000-04-17,5420.0,5750.0,5340.0,5520.0,3952.89892578125,78050000,4461.333333333333,4683.3255859375
2000-04-18,6200.0,6240.0,5860.0,6040.0,4325.2724609375,73730000,4253.662760416667,4531.511328125
2000-04-19,6300.0,6460.0,5860.0,6000.0,4296.62890625,60615000,4191.60009765625,4401.1802734375
2000-04-20,5960.0,6160.0,5920.0,6020.0,4310.94970703125,37335000,4310.950358072917,4273.71337890625
2000-04-21,6060.0,6180.0,5970.0,6050.0,4332.4345703125,26425000,4313.337727864583,4243.6369140625
2000-04-24,5970.0,6030.0,5760.0,5800.0,4153.408203125,27830000,4265.597493489583,4283.73876953125
2000-04-25,5620.0,5760.0,5520.0,5640.0,4038.832275390625,34900000,4174.891682942708,4226.450732421875
2000-04-26,5820.0,5860.0,5600.0,5600.0,4010.1875,39290000,4067.4759928385415,4169.162451171875
2000-04-27,5520.0,5700.0,5400.0,5400.0,3866.96484375,54110000,3971.994873046875,4080.365478515625
2000-04-28,5500.0,6100.0,5460.0,6000.0,4296.62890625,75530000,4057.9270833333335,4073.204345703125
2000-05-01,6000.0,6000.0,6000.0,6000.0,4296.62890625,0,4153.407552083333,4101.848486328125
2000-05-02,6200.0,6530.0,6120.0,6280.0,4497.13818359375,72335000,4363.46533203125,4193.50966796875
2000-05-03,6240.0,6260.0,6090.0,6180.0,4425.5283203125,26585000,4406.431803385417,4276.57783203125
