,Open,High,Low,Close,Adj Close,Volume,MA3,MA5
2000-02-18,5370.0,5630.0,5160.0,5300.0,3795.35546875,108750000,5126.666666666667,5192.0
2000-02-21,5200.0,5260.0,5030.0,5070.0,3630.651611328125,26485000,5150.0,5130.0
2000-02-22,5000.0,5240.0,5000.0,5120.0,3666.45703125,24180000,5163.333333333333,5114.0
2000-02-23,5220.0,5260.0,5100.0,5140.0,3680.77880859375,27720000,5110.0,5142.0
2000-02-24,5120.0,5240.0,5060.0,5070.0,3630.651611328125,26075000,5110.0,5140.0
2000-02-25,5080.0,5150.0,4980.0,5120.0,3666.45703125,27875000,5110.0,5104.0
2000-02-28,5000.0,5050.0,4800.0,4800.0,3437.302978515625,30140000,4996.666666666667,5050.0
2000-02-29,4900.0,5140.0,4840.0,5120.0,3666.45703125,51820000,5013.333333333333,5050.0
2000-03-01,5120.0,5120.0,5120.0,5120.0,3666.45703125,0,5013.333333333333,5046.0
2000-03-02,5880.0,5880.0,5520.0,5880.0,4210.69580078125,117750000,5373.333333333333,5208.0
2000-03-03,6200.0,6250.0,5880.0,6000.0,4296.6298828125,140990000,5666.666666666667,5384.0
2000-03-06,6000.0,6050.0,5600.0,5640.0,4038.830810546875,39150000,5840.0,5552.0
2000-03-07,5600.0,5640.0,5480.0,5620.0,4024.50830078125,30070000,5753.333333333333,5652.0
2000-03-08,5520.0,6000.0,5500.0,5920.0,4239.341796875,32460000,5726.666666666667,5812.0
2000-03-09,5970.0,5980.0,5620.0,5620.0,4024.50830078125,55890000,5720.0,5760.0
2000-03-10,5790.0,5800.0,5520.0,5540.0,3967.220947265625,28605000,5693.333333333333,5668.0
2000-03-13,5480.0,5490.0,5160.0,5180.0,3709.42236328125,32215000,5446.666666666667,5576.0
2000-03-14,5170.0,5380.0,5160.0,5210.0,3730.90625,30060000,5310.0,5494.0
2000-03-15,5200.0,5400.0,5120.0,5400.0,3866.96630859375,46105000,5263.333333333333,5390.0
2000-03-16,5480.0,5520.0,5360.0,5400.0,3866.96630859375,28795000,5336.666666666667,5346.0
2000-03-17,5540.0,5560.0,5400.0,5480.0,3924.25537109375,24080000,5426.666666666667,5334.0
2000-03-20,5600.0,5710.0,5530.0,5660.0,4053.154541015625,26365000,5513.333333333333,5430.0
2000-03-21,5700.0,5940.0,5610.0,5880.0,4210.69580078125,44925000,5673.333333333333,5564.0
2000-03-22,5960.0,6300.0,5880.0,6200.0,4439.85009765625,86975000,5913.333333333333,5724.0
2000-03-23,6480.0,6580.0,6200.0,6200.0,4439.85009765625,64950000,6093.333333333333,5884.0
2000-03-24,6320.0,7120.0,6180.0,6800.0,4869.51220703125,90260000,6400.0,6148.0
2000-03-27,6960.0,7040.0,6700.0,6800.0,4869.51220703125,67730000,6600.0,6376.0
2000-03-28,6900.0,7260.0,6820.0,7030.0,5034.21630859375,74425000,6876.666666666667,6606.0
2000-03-29,7030.0,7680.0,6980.0,7660.0,5485.3623046875,78090000,7163.333333333333,6898.0
2000-03-30,7520.0,7560.0,7050.0,7050.0,5048.5390625,74645000,7246.666666666667,7068.0
2000-03-31,6800.0,7070.0,6650.0,6700.0,4797.9033203125,63855000,7136.666666666667,7048.0
2000-04-03,6920.0,7320.0,6860.0,7100.0,5084.3447265625,56805000,6950.0,7108.0
2000-04-04,7000.0,7290.0,6660.0,6800.0,4869.51220703125,58340000,6866.666666666667,7062.0
2000-04-05,6800.0,6800.0,6800.0,6800.0,4869.51220703125,0,6900.0,6890.0
2000-04-06,6860.0,6960.0,6680.0,6680.0,4783.58203125,47235000,6760.0,6816.0
2000-04-07,6860.0,7260.0,6780.0,7200.0,5155.95458984375,42355000,6893.333333333333,6916.0
2000-04-10,7500.0,7500.0,7200.0,7300.0,5227.56591796875,35885000,7060.0,6956.0
2000-04-11,7200.0,7200.0,6950.0,7100.0,5084.3447265625,29075000,7200.0,7016.0
2000-04-12,6960.0,7030.0,6860.0,6910.0,4948.28466796875,35250000,7103.333333333333,7038.0
2000-04-13,6910.0,6910.0,6910.0,6910.0,4948.28466796875,0,6973.333333333333,7084.0
2000-04-14,6600.0,6680.0,6260.0,6260.0,4482.8154296875,62365000,6693.333333333333,6896.0
2000-04-17,5420.0,5750.0,5340.0,5520.0,3952.896728515625,78050000,6230.0,6540.0
2000-04-18,6200.0,6240.0,5860.0,6040.0,4325.27392578125,73730000,5940.0,6328.0
2000-04-19,6300.0,6460.0,5860.0,6000.0,4296.6298828125,60615000,5853.333333333333,6146.0
2000-04-20,5960.0,6160.0,5920.0,6020.0,4310.95263671875,37335000,6020.0,5968.0
2000-04-21,6060.0,6180.0,5970.0,6050.0,4332.43310546875,26425000,6023.333333333333,5926.0
2000-04-24,5970.0,6030.0,5760.0,5800.0,4153.408203125,27830000,5956.666666666667,5982.0
2000-04-25,5620.0,5760.0,5520.0,5640.0,4038.830810546875,34900000,5830.0,5902.0
2000-04-26,5820.0,5860.0,5600.0,5600.0,4010.187744140625,39290000,5680.0,5822.0
2000-04-27,5520.0,5700.0,5400.0,5400.0,3866.96630859375,54110000,5546.666666666667,5698.0
2000-04-28,5500.0,6100.0,5460.0,6000.0,4296.6298828125,75530000,5666.666666666667,5688.0
2000-05-01,6000.0,6000.0,6000.0,6000.0,4296.6298828125,0,5800.0,5728.0
2000-05-02,6200.0,6530.0,6120.0,6280.0,4497.138671875,72335000,6093.333333333333,5856.0
2000-05-03,6240.0,6260.0,6090.0,6180.0,4425.52587890625,26585000,6153.333333333333,5972.0
2000-05-04,6220.0,6360.0,6140.0,6180.0,4425.52587890625,26100000,6213.333333333333,6128.0
2000-05-05,6180.0,6180.0,6180.0,6180.0,4425.52587890625,0,6180.0,6164.0
2000-05-08,6400.0,6700.0,6300.0,6560.0,4697.64794921875,52695000,6306.666666666667,6276.0
2000-05-09,6560.0,6560.0,6560.0,6560.0,4697.64794921875,0,6433.333333333333,6332.0
2000-05-10,6320.0,6390.0,6270.0,6350.0,4547.26708984375,27620000,6490.0,6366.0
2000-05-11,6350.0,6350.0,6350.0,6350.0,4547.26708984375,0,6420.0,6400.0
2000-05-12,6420.0,6440.0,6160.0,6160.0,4411.2060546875,47170000,6286.666666666667,6396.0
2000-05-15,6290.0,6530.0,6220.0,6440.0,4611.71630859375,47120000,6316.666666666667,6372.0
2000-05-16,6510.0,6800.0,6510.0,6800.0,4869.51220703125,39620000,6466.666666666667,6420.0
2000-05-17,7000.0,7340.0,6920.0,6920.0,4955.4453125,76235000,6720.0,6534.0
2000-05-18,6740.0,7000.0,6680.0,6800.0,4869.51220703125,36580000,6840.0,6624.0
2000-05-19,6740.0,6900.0,6600.0,6900.0,4941.1240234375,41450000,6873.333333333333,6772.0
2000-05-22,6720.0,6830.0,6620.0,6670.0,4776.41796875,36385000,6790.0,6818.0
2000-05-23,6500.0,6700.0,6350.0,6380.0,4568.74853515625,41290000,6650.0,6734.0
2000-05-24,6160.0,6370.0,5920.0,6200.0,4439.85009765625,72150000,6416.666666666667,6590.0
